lottery_id,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20,r21,r22,r23,r24,r25,r26,r27,r28,r29,r30,r31,r32,r33
3023,1,1,9,1,1,18,1,4,14,1,1,1,4,1,2,4,7,2,5,1,9,1,6,13,2,1,3,5,23,2,1,1,4,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
3024,1,1,10,5,6,19,1,5,15,1,2,2,5,2,1,5,1,3,6,1,10,1,7,14,3,1,4,6,24,1,1,2,5,1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3025,1,1,11,6,1,20,1,6,16,2,1,3,1,1,1,6,1,4,7,2,11,1,8,15,4,2,1,7,25,1,2,3,6,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
3026,1,1,12,7,1,21,2,1,17,3,1,4,1,1,1,7,2,5,8,3,12,2,9,16,5,1,1,8,1,2,1,4,7,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
3027,1,3,13,8,2,22,3,1,18,4,1,5,1,1,1,8,1,6,9,4,13,3,10,17,6,1,1,1,1,3,1,5,8,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
3028,1,4,14,9,3,1,4,2,19,5,1,6,1,1,2,1,1,7,10,1,14,4,11,18,7,2,1,1,2,4,2,1,9,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
3029,2,1,15,10,4,1,1,3,20,6,2,7,1,2,1,1,2,8,11,1,15,5,12,19,8,1,2,1,1,5,3,1,10,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
3030,3,1,16,11,1,1,1,4,21,7,3,8,1,1,1,2,3,9,12,2,16,6,1,20,9,1,1,2,1,6,4,1,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0
3031,4,1,17,12,6,1,2,5,22,8,1,9,1,1,2,3,1,10,13,1,17,1,1,21,10,2,1,1,2,7,5,1,12,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0
3032,5,1,18,1,7,2,3,6,23,9,1,10,2,2,3,4,1,11,14,1,18,1,2,22,1,3,1,1,1,1,6,1,13,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
3033,1,3,19,1,8,3,1,7,24,1,1,11,3,1,4,5,2,12,15,1,19,2,3,23,1,4,1,2,1,1,7,2,14,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
3034,1,4,20,2,9,4,1,1,25,11,2,1,1,1,5,1,3,13,16,1,20,3,1,1,1,5,1,3,2,1,8,3,15,0,0,1,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3035,2,5,1,1,1,5,2,1,26,1,1,13,1,1,6,1,4,14,17,2,1,4,1,25,1,6,2,4,3,2,9,4,16,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0
3036,3,6,1,1,1,1,1,1,27,1,1,14,2,2,7,2,5,15,18,3,1,5,2,1,1,7,1,1,4,3,10,5,17,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
3037,4,7,2,2,2,7,1,2,1,2,2,15,3,1,8,3,1,1,1,4,1,6,3,1,1,1,1,1,5,4,11,1,18,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0
3038,5,8,1,3,1,8,1,1,1,3,3,16,4,1,9,4,1,1,20,5,2,7,4,1,1,1,1,2,6,5,12,1,19,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0
